Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,Muscles
1797,Quadriceps SMR,"Quadriceps self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the quad muscles of the upper leg, some people find they can cause this often painful and tight muscle group to relax or ""release."" Quadriceps SMR is often accompanied by SMR on the calf, glute, or hip muscles, or by stretches that target the calves or quads.",Mobility,Legs,Foam Roll,Intermediate,5.4,Average,"Quadriceps, Hamstrings, Calves, Glutes"
1798,Clean from Blocks,"The Clean from Blocks is a weightlifting exercise that focuses on explosive power and strength. It involves lifting a barbell from a set position on blocks, emphasizing technique and muscle engagement.",Strength,Full Body,Barbell,Beginner,9.5,Average,"Quadriceps, Hamstrings, Glutes, Back, Shoulders"
1799,Barbell Full Squat,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.",Strength,Legs,Barbell,Intermediate,9.4,Average,"Quadriceps, Hamstrings, Glutes, Calves, Erector Spinae"
1800,Barbell back squat to box,"The barbell back squat to box is a popular version of a classic lower-body exercise that utilizes a box at the bottom position of the movement. This allows the lifter to customize the depth of the squat, as well as limit the stretch reflex at the bottom of the squat. The movement targets the quadriceps, glutes, and hamstrings. The squat to box can be performed for low reps to build strength or power, or for higher reps to build muscle.",Strength,Legs,Barbell,Intermediate,9.3,Average,"quadriceps, glutes, hamstrings"
1801,Push-press,"The push-press is an overhead press variation in which the barbell is pushed upward with assistance from the lower body. This ""push"" helps the weight travel through the sticking point of a strict press. The push-press is commonly performed as part of barbell complexes, power training for all types of athletics, or as a powerful shoulder exercise.",Power,Shoulders,Barbell,Intermediate,9.3,Average,"Deltoids, Triceps, Upper Pectorals, Core"
1802,Power snatch-,"The power snatch is a full-body lift in which the bar is pulled from the floor with a wide grip to the overhead position in one movement. The bar is received in the ""power"" position, with the hips higher than a full-depth squat position. The power snatch can be used as a learning tool for the full snatch, or to train muscular power and strength on its own. It is usually performed for low reps, focusing on power and movement quality.",Power,Full Body,Barbell,Expert,9.3,Average,"Legs, Back, Shoulders, Arms"
1803,Hang Clean,"The Hang Clean is a powerful Olympic weightlifting movement that involves lifting a barbell from a hanging position to the shoulders. It primarily targets the legs, back, and shoulders while also engaging the core.",Strength,Full Body,Barbell,Beginner,9.3,Average,"Quadriceps, Hamstrings, Glutes, Back, Shoulders, Arms"
1804,Barbell walking lunge,"The barbell walking lunge tests your ability to maintain balance while challenging the quads, glutes, and hamstrings as well as the core muscles. Using a barbell allows you to overload the exercise. It can be performed for moderate reps, such as 8-15 per set or across the gym, or for higher reps as a conditioning and mental toughness challenge.",Strength,Legs,Barbell,Intermediate,9.2,Average,"Quads, Glutes, Hamstrings, Core"
1805,Olympic Squat,"The Olympic Squat is a fundamental strength exercise that targets the lower body. It involves squatting with a barbell placed on the upper back, promoting strength and stability in the legs and core.",Strength,Legs,Barbell,Beginner,9.1,Average,"Quadriceps, Hamstrings, Glutes, Calves"
1806,Narrow-stance squat,"The narrow-stance squat is an exercise that targets the lower body with an emphasis on the quads. Many people will find they can't go as deep in a narrow-stance squat as with a wider squat, which is normal. The narrow-stance squat can be performed for time or reps in any workout.",Strength,Legs,Barbell,Expert,9.0,Average,"Quadriceps, Hamstrings, Glutes"
1807,Box Squat with Bands,The Box Squat with Bands is a strength training exercise that targets the lower body. It involves squatting down to a box while using resistance bands to enhance the challenge and improve strength.,Strength,Legs,Barbell,Beginner,9.0,Average,"Quadriceps, Hamstrings, Glutes"
1808,Weighted Jump Squat,The Weighted Jump Squat is a dynamic exercise that combines strength training with explosive movement. It targets the lower body while improving power and athletic performance.,Power,Legs,Barbell,Beginner,9.0,Average,"Quadriceps, Hamstrings, Glutes, Calves"
1809,Squat with Chains,"The squat with chains is a variation of the traditional squat that adds variable resistance, making it more challenging. This exercise primarily targets the lower body while also engaging the core for stability.",Strength,Legs,Barbell,Beginner,9.0,Average,"Quadriceps, Hamstrings, Glutes"
1810,Barbell Squat,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.",Strength,Legs,Barbell,Intermediate,8.9,Average,"Quadriceps, Hamstrings, Glutes, Calves, Erector Spinae"
1811,Barbell front squat,"The barbell front squat is a compound movement that emphasizes building the lower-body muscle groups. With the barbell racked in front of the body on the anterior delts, the front squat emphasizes the quads and glutes, but also upper back and core strength to remain upright. Front squats can be trained as an alternative to back squats, as an accessory movement for either squats or deadlifts, or for strength and muscle on their own. Many lifters and athletes prefer them to back squats, although they can be uncomfortable and difficult to learn at first.",Strength,Legs,Barbell,Intermediate,8.9,Average,"Quadriceps, Glutes, Hamstrings, Core, Upper Back"
1812,Barbell forward lunge,"The barbell forward lunge is a popular lower-body exercise targeting the quads, glutes, and hamstrings. Using a barbell allows you to overload the exercise beyond body weight and perform the movement in strength or muscle-focused rep ranges. The forward lunge can be performed as part of a barbell complex, in a circuit, or on its own in the lower-body portion of any workout.",Strength,Legs,Barbell,Expert,8.8,Average,"Quads, Glutes, Hamstrings"
1813,Smith machine box squat,"The Smith machine box squat is a machine-based exercise targeting the quads, glutes, and hamstrings. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or power or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a full-body or lower-body workout.",Strength,Legs,Barbell,Intermediate,8.8,Average,"Quads, Glutes, Hamstrings"
1814,Barbell step-up,"The barbell step-up is a great exercise for building lower-body strength and power. It targets all the same muscles as bodyweight step-ups, such as the quads, glutes, and hamstrings, but allows for greater muscular overload.",Strength,Legs,Barbell,Intermediate,8.7,Average,"Quads, Glutes, Hamstrings"
1815,Barbell Bulgarian split squat,"The barbell Bulgarian split squat is a single-leg exercise targeting the quads, glutes, and hamstrings. It is easier to overload with the barbell than when using dumbbells. If balance is an issue, consider using a Smith machine or holding dumbbells at your side instead.",Strength,Legs,Barbell,Intermediate,8.5,Average,"Quads, Glutes, Hamstrings"
1816,Hang Clean - Below the Knees,The Hang Clean - Below the Knees is a strength exercise that focuses on explosive power and full-body engagement. It primarily targets the legs and back while also working the shoulders and core.,Strength,Full Body,Barbell,Beginner,8.5,Average,"Quadriceps, Hamstrings, Glutes, Back, Shoulders"
1817,Barbell hack squat,"The barbell hack squat is a variety of deadlift performed with the barbell behind the legs. This forces the lifter into a body position similar to a squat and targets the quads and glutes. It is named after famed strongman George Hackenschmidt, who performed it as an overall leg-building exercise. The barbell hack squat can be used as a substitute for the machine hack squat, or as a lower-body strength and size movement on its own.",Strength,Legs,Barbell,Expert,8.5,Average,"Quadriceps, Glutes, Hamstrings"
1818,Hack Squat,"The hack squat is a machine-based exercise that targets the muscles of the legs, particularly the quadriceps. It is often used as an accessory for squats, but can also be the main lower-body movement in a workout. It is often performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Legs,Barbell,Intermediate,8.4,Average,"Quadriceps, Hamstrings, Glutes"
1819,Barbell thruster,"The barbell thruster is a full-body exercise that incorporates both squatting and pressing in one functional movement. It's especially common in contemporary CrossFit workouts, but also in general strength training. The barbell is usually cleaned into place first, but it could be performed taken from a squat rack in a front-rack position. The thruster can be performed in traditional strength-focused rep ranges to build strength in the press, or in higher reps for full-body conditioning.",Strength,Full Body,Barbell,Intermediate,8.3,Average,"Quadriceps, Hamstrings, Glutes, Shoulders, Triceps"
1820,Split Jerk,"The Split Jerk is a dynamic weightlifting movement that involves lifting a barbell overhead while splitting the legs into a lunge position. It develops explosive power and coordination, making it a key exercise in Olympic weightlifting.",Power,Full Body,Barbell,Beginner,8.3,Average,"Shoulders, Legs, Triceps"
1821,Push-jerk,"The push-jerk is a movement in which the barbell is pushed from the front rack position to overhead with help from the legs. It differs from the push-press in that the lifter dips under the bar rather than simply pushing it up. It is popular in CrossFit workouts and Olympic weightlifting, as well as power training for athletics. It is usually performed for low reps, focusing on power and movement quality.",Power,Shoulders,Barbell,Intermediate,8.2,Average,"Deltoids, Triceps, Legs"
1822,Barbell back squat,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.",Strength,Legs,Barbell,Intermediate,8.2,Average,"Quadriceps, Hamstrings, Glutes, Calves, Erector Spinae"
1823,Zercher squat,The Zercher squat is a barbell exercise in which the bar is placed in the crease of your elbows as you perform a normal squat. This movement can be awkward at first but is extremely effective in building both size and strength.,Strength,Legs,Barbell,Intermediate,8.1,Average,"Quadriceps, Hamstrings, Glutes, Core"
1824,Jefferson Squats,Jefferson squats are a compound exercise that primarily targets the lower body. They involve a unique stance that engages multiple muscle groups for strength and stability.,Strength,Legs,Barbell,Beginner,8.0,Average,"Quadriceps, Hamstrings, Glutes, Calves"
1825,Jerk Dip Squat,The Jerk Dip Squat is a compound exercise that combines a dip and a squat to develop strength and power in the lower body. It primarily targets the legs while also engaging the core for stability.,Strength,Legs,Barbell,Beginner,8.0,Average,"Quadriceps, Hamstrings, Glutes, Calves"
1826,Barbell side split squat,"The barbell side split squat is a variation of the split squat that targets the lower body, specifically the quads, and requires good hip mobility.",Strength,Legs,Barbell,Intermediate,7.8,Average,"Quadriceps, Hamstrings, Glutes, Adductors"
1827,Frankenstein Squat,"The Frankenstein Squat is a variation of the traditional squat that emphasizes core stability and leg strength. It involves holding your arms straight out in front of you while performing the squat, which helps to engage the upper body as well.",Strength,Legs,Barbell,Beginner,7.7,Average,"Quadriceps, Hamstrings, Glutes"
1828,Barbell speed squat,"The barbell speed squat targets the lower-body muscle groups using lighter weights to perform fast-paced back squats. Speed squats are popular in certain powerlifting training methodologies as a way to engrain form and lifting speed that can carry over to max-effort lifts. In this approach, they are usually performed in numerous sets of 3-5 reps with adequate rest in between. Speed squats are also sometimes performed with bands or chains adding extra resistance to the top half of the lift.",Strength,Legs,Barbell,Intermediate,7.7,Average,"Quadriceps, Hamstrings, Glutes"
1829,Single-arm side deadlift,"The single-arm side deadlift is a compound exercise that strengthens the glutes, quads, hamstrings, back, and core. It has more of a core stability and anti-rotational component than other deadlift variations. The side deadlift is usually done for low to moderate reps, such as 5-8 reps per side, with a focus on posture and movement quality.",Strength,Legs,Barbell,Expert,7.5,Average,"Glutes, Quads, Hamstrings, Back, Core"
1830,Barbell Squat To A Bench,"The barbell back squat to box takes a classic compound exercise for developing the lower body and adds the box element. Muscles worked include the quads, hips, glutes, and upper hamstrings.",Strength,Legs,Barbell,Intermediate,7.4,Average,"quads, hips, glutes, upper hamstrings"
1831,Clean Pull,The Clean Pull is a strength exercise that focuses on developing power and explosiveness. It primarily targets the posterior chain and is often used as a foundational movement in Olympic weightlifting.,Strength,Full Body,Barbell,Beginner,7.2,Average,"Hamstrings, Glutes, Back, Shoulders"
1832,Front Barbell Squat To A Bench,"The front barbell squat to a bench is a strength exercise that primarily targets the legs. It involves squatting down to a bench while holding a barbell in front of the shoulders, promoting proper squat form and depth.",Strength,Legs,Barbell,Beginner,5.3,Average,"Quadriceps, Hamstrings, Glutes, Core"
1833,Barbell reverse lunge,"The barbell reverse lunge is a popular lower-body exercise targeting the quads, glutes, and hamstrings. Using a barbell allows you to overload the exercise beyond body weight and perform the movement in strength or muscle-focused rep ranges. The reverse lunge can be performed as part of a barbell complex, in a circuit, or on its own in the lower-body portion of any workout.",Strength,Legs,Barbell,Intermediate,0.0,Average,"Quads, Glutes, Hamstrings"
1834,Split Clean,"The Split Clean is a dynamic weightlifting movement that involves lifting a barbell from the ground to the shoulders in a split stance. It develops explosive strength and coordination, primarily targeting the legs, back, and shoulders.",Power,Full Body,Barbell,Beginner,0.0,Average,"Legs, Back, Shoulders, Arms"
1835,Close-stance dumbbell front squat,"The close-stance dumbbell front squat is a popular exercise for targeting the muscles of the lower body, the quadriceps in particular. Holding dumbbells in the racked position also works the core and upper-back muscles to maintain posture while the lower body moves. Because the amount of weight you can use will be limited by what you can clean to the rack position, this movement is usually performed for moderate to high reps, at least 8-12 reps per set or more. If this movement hurts your knees, try performing it with a wider stance.",Strength,Legs,Barbell,Intermediate,0.0,,"Quadriceps, Core, Upper Back"
1836,Front Squat (Clean Grip),"The front squat is a compound exercise that primarily targets the muscles of the legs and core. It involves holding a barbell across the front of the shoulders while squatting down, which helps improve strength and stability.",Strength,Legs,Barbell,Beginner,0.0,Average,"Quadriceps, Hamstrings, Glutes, Calves"
1837,Barbell front squat to back squat,"The barbell front squat to back squat is a complex that combines two fundamental barbell squat movements with a press in between to build overall strength, coordination, and endurance. This combo hits every muscle in the lower body, but also seriously challenges the upper-body musculature to control and transition the weight.",Strength,Legs,Barbell,Intermediate,0.0,,"Quadriceps, Hamstrings, Glutes, Calves, Core, Shoulders"
1838,Squat Jerk,The squat jerk is a dynamic weightlifting movement that combines a squat with an overhead press. It primarily targets the legs and shoulders while improving explosive strength and coordination.,Power,Legs,Barbell,Beginner,0.0,Average,"Quadriceps, Hamstrings, Glutes, Shoulders"
1839,Barbell Front-To-Back Squat,"The barbell front squat to back squat is a complex that combines two fundamental barbell squat movements with a press in between to build overall strength, coordination, and endurance. This combo hits every muscle in the lower body, but also seriously challenges the upper-body musculature to control and transition the weight.",Strength,Legs,Barbell,Intermediate,0.0,,"Quadriceps, Hamstrings, Glutes, Calves, Core, Shoulders"
1840,Box Squat with Chains,"The Box Squat with Chains is a strength training exercise that targets the lower body. It involves squatting onto a box while using chains for added resistance, promoting explosive power and proper squat mechanics.",Strength,Legs,Barbell,Beginner,0.0,Average,"Quadriceps, Hamstrings, Glutes"
1841,Snatch from Blocks,"The Snatch from Blocks is a weightlifting exercise that focuses on explosive power and strength. It involves lifting a barbell from an elevated position, emphasizing technique and full-body engagement.",Strength,Full Body,Barbell,Beginner,0.0,Average,"Glutes, Hamstrings, Quadriceps, Shoulders, Trapezius"
1842,Power Snatch from Blocks,"The Power Snatch from Blocks is a dynamic Olympic weightlifting movement that develops explosive power and strength. It primarily targets the entire body, focusing on the legs, back, and shoulders.",Power,Full Body,Barbell,Beginner,0.0,Average,"Legs, Back, Shoulders, Arms"
1843,Front Squat (Bodybuilder),"The barbell front squat is a compound movement that emphasizes building the lower-body muscle groups. With the barbell racked in front of the body on the anterior delts, the front squat emphasizes the quads and glutes, but also upper back and core strength to remain upright. Front squats can be trained as an alternative to back squats, as an accessory movement for either squats or deadlifts, or for strength and muscle on their own. Many lifters and athletes prefer them to back squats, although they can be uncomfortable and difficult to learn at first.",Strength,Legs,Barbell,Intermediate,0.0,Average,"Quadriceps, Glutes, Hamstrings, Core, Upper Back"
1844,Barbell step-down reverse lunge,"The barbell step-down reverse lunge is an exercise targeting the lower body, particularly the glutes and hamstrings. The front foot is slightly elevated during this movement, making the subsequent step-down more pronounced and difficult. These are usually performed for time or for relatively high reps, such as 10 reps or more per set.",Strength,Legs,Barbell,Intermediate,0.0,,"Glutes, Hamstrings, Quadriceps"
1845,Squat with Bands,The squat with bands is a lower body exercise that enhances strength and stability. It involves squatting while using resistance bands to increase the challenge and engage the muscles more effectively.,Strength,Legs,Barbell,Beginner,0.0,Average,"Quadriceps, Hamstrings, Glutes"
1846,Heaving Snatch Balance,"The Heaving Snatch Balance is a dynamic weightlifting exercise that focuses on developing strength and stability in the overhead position. It involves a controlled movement where the lifter dips slightly before driving the barbell overhead, engaging multiple muscle groups.",Strength,Full Body,Barbell,Beginner,0.0,Average,"Shoulders, Legs, Back"
1847,Snatch Balance,"The Snatch Balance is a dynamic weightlifting movement that combines a snatch and a squat. It helps improve stability, strength, and coordination while developing the ability to catch a barbell overhead.",Strength,Full Body,Barbell,Beginner,0.0,Average,"Shoulders, Legs, Core"
1848,Reverse Band Power Squat,"The Reverse Band Power Squat is a variation of the squat that utilizes bands to assist with the lift. This exercise primarily targets the lower body, enhancing strength and power in the legs.",Power,Legs,Barbell,Beginner,0.0,Average,"Quadriceps, Hamstrings, Glutes"
1849,Paul Carter Back Squat,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.",Strength,Legs,Barbell,Intermediate,,,"Quadriceps, Hamstrings, Glutes, Calves, Erector Spinae"
1850,Paul Carter Barbell Split Squat,"The barbell Bulgarian split squat is a single-leg, full-body exercise targeting the quads, glutes, and hamstrings. It is easier to overload with the barbell as opposed to using dumbbells.",Strength,Legs,Barbell,Intermediate,,,"Quads, Glutes, Hamstrings"
1851,TBS High-Bar Back Squat,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.",Strength,Legs,Barbell,Intermediate,,,"Quadriceps, Hamstrings, Glutes, Calves, Lower Back"
1852,TBS Barbell Front Squat,"The barbell front squat is a compound movement that emphasizes building the lower-body muscle groups. With the barbell racked in front of the body on the anterior delts, the front squat emphasizes the quads and glutes, but also upper back and core strength to remain upright. Front squats can be trained as an alternative to back squats, as an accessory movement for either squats or deadlifts, or for strength and muscle on their own. Many lifters and athletes prefer them to back squats, although they can be uncomfortable and difficult to learn at first.",Strength,Legs,Barbell,Intermediate,,,"Quadriceps, Glutes, Upper Back, Core"
1853,Squat - Gethin Variation,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.",Strength,Legs,Barbell,Intermediate,,,"Quadriceps, Hamstrings, Glutes, Calves, Erector Spinae"
1854,Front-To-Back Barbell Squat,"The Front-To-Back Barbell Squat is a compound exercise that targets the lower body. It involves squatting with a barbell positioned in front of the body, followed by a transition to a back squat position.",Strength,Legs,Barbell,Intermediate,,,"Quadriceps, Hamstrings, Glutes"
1855,Barbell Lunge - Gethin Variation,"The barbell forward lunge is a popular lower-body exercise targeting the quads, glutes, and hamstrings. Using a barbell allows you to overload the exercise beyond body weight and perform the movement in strength or muscle-focused rep ranges. The forward lunge can be performed as part of a barbell complex, in a circuit, or on its own in the lower-body portion of any workout.",Strength,Legs,Barbell,Intermediate,,,"Quads, Glutes, Hamstrings"
1856,Rack Deadlift - Gethin Variation,"The rack pull is a variation of the deadlift performed from an elevated height, either using boxes, safety pins, or the safeties in a squat rack. It targets all the same muscles as the deadlift, including the glutes, hamstrings, upper back, lower back, and grip. It can e used to strengthen deadlift lockout, but also as a deadlift alternative for people who can’t deadlift from the floor without pain.",Strength,Back,Barbell,Intermediate,,,"Glutes, Hamstrings, Upper Back, Lower Back, Grip"
1857,Barbell Squat - Gethin Variation,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.",Strength,Legs,Barbell,Intermediate,,,"Quadriceps, Hamstrings, Glutes, Calves, Erector Spinae"
1858,Barbell Good Morning - Gethin Variation,"The barbell good morning is an exercise that targets glute, hamstring, and lower back development. It is often trained as an accessory movement to the deadlift, but also has value on its own. It is sometimes performed for reps in traditional strength-focused rep ranges such as 5-8 reps per set, but due to the risk posed to the lower back, is rarely treated as a max-effort single-rep lift.",Strength,Back,Barbell,Intermediate,,,"Glutes, Hamstrings, Lower Back"
1859,AM Barbell Squat,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.",Strength,Legs,Barbell,Intermediate,,,"Quadriceps, Hamstrings, Glutes, Calves, Erector Spinae"
1860,Plyometric Power Clean,The Plyometric Power Clean is a dynamic exercise that combines explosive movements with strength training. It targets multiple muscle groups and enhances power and athletic performance.,Power,Full Body,Barbell,Intermediate,,,"Quadriceps, Hamstrings, Glutes, Back, Shoulders"
1861,Banded Split Jerk,"The Banded Split Jerk is a dynamic exercise that combines strength and power elements. It involves using resistance bands to enhance the explosive movement of the split jerk, targeting multiple muscle groups.",Power,Full Body,Barbell,Intermediate,,,"Shoulders, Legs, Arms"
1862,UP Squat,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.",Strength,Legs,Barbell,Intermediate,,,"Quadriceps, Hamstrings, Glutes, Calves, Erector Spinae"
1863,UN Barbell Back Squat,"The UN Barbell Back Squat is a fundamental exercise for building lower body strength. It primarily targets the quadriceps, hamstrings, and glutes while also engaging the core for stability.",Strength,Legs,Barbell,Intermediate,,,"Quadriceps, Hamstrings, Glutes, Calves"
1864,UN Barbell Box Squat,"The UN Barbell Box Squat is a strength training exercise that focuses on developing lower body strength. It involves squatting down to a box while holding a barbell, which helps improve squat form and depth.",Strength,Legs,Barbell,Intermediate,,,"Quadriceps, Hamstrings, Glutes"
1865,UN Barbell Front Squat,"The UN Barbell Front Squat is a compound exercise that primarily targets the quadriceps while also engaging the glutes and hamstrings. It requires a barbell to be held in front of the body, promoting proper posture and core stability.",Strength,Legs,Barbell,Intermediate,,,"Quadriceps, Hamstrings, Glutes, Core"
1866,KV Bulgarian Split Squat,"The KV Bulgarian Split Squat is a unilateral leg exercise that targets the muscles of the lower body. It helps improve balance, stability, and strength in the legs.",Strength,Legs,Barbell,Intermediate,,,"Quadriceps, Hamstrings, Glutes"
1867,King Maker Barbell Back Squat,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.",Strength,Legs,Barbell,Intermediate,,,"Quadriceps, Hamstrings, Glutes, Calves, Erector Spinae"
1868,King Maker Barbell Deadlift,"The barbell deadlift is a compound exercise used to develop overall strength and size in the posterior chain. It is a competition lift in the sport of powerlifting, but is also considered a classic benchmark of overall strength. When performed with the hands outside the knees, it is often called a ""conventional"" deadlift. When the feet are wide and the hands are inside the knees, it is a sumo deadlift.",Strength,Legs,Barbell,Intermediate,,,"Hamstrings, Glutes, Lower Back, Quadriceps"
1869,30 Legs Barbell Back Squat,"The barbell back squat is a fundamental strength exercise that targets the muscles of the legs and lower body. It involves squatting down with a barbell placed on the upper back, promoting muscle growth and overall strength.",Strength,Legs,Barbell,Intermediate,,,"Quadriceps, Hamstrings, Glutes, Calves"
1870,30 Legs Barbell Front Squat,"The barbell front squat is a compound exercise that primarily targets the quadriceps while also engaging the glutes and hamstrings. It is performed by holding a barbell across the front of the shoulders and squatting down, emphasizing proper form and core stability.",Strength,Legs,Barbell,Intermediate,,,"Quadriceps, Hamstrings, Glutes, Calves"
1871,Barbell Back Squats,"Barbell back squats are a compound exercise that primarily targets the muscles of the legs and glutes. They are performed by placing a barbell across the upper back and squatting down, then returning to a standing position.",Strength,Legs,Barbell,Intermediate,,,"Quadriceps, Hamstrings, Glutes, Calves"
1872,Front Squats With Two Kettlebells,"Front squats with two kettlebells primarily target the lower body muscles, particularly the quadriceps and glutes. This exercise also engages the core for stability and balance.",Strength,Legs,Kettlebells,Beginner,9.2,Average,"Quadriceps, Hamstrings, Glutes"
1873,Kettlebell Pistol Squat,The Kettlebell Pistol Squat is a challenging single-leg squat that enhances strength and balance. It primarily targets the muscles of the legs while also engaging the core for stability.,Strength,Legs,Kettlebells,Beginner,9.1,Average,"Quadriceps, Hamstrings, Glutes, Calves"
1874,Goblet Squat,"The goblet squat is a popular lower-body exercise where you hold a kettlebell or dumbbell in front of your chest as if you are supporting a heavy cup or goblet. It can help lifters of all levels improve their squat technique and hip mobility, but can also work as a muscle-building or strength accessory movement for experienced athletes. It also works well in combinations, complexes, and flows with other kettlebell movements like swings, presses, and cleans.",Strength,Legs,Kettlebells,Intermediate,8.7,Average,"Quadriceps, Hamstrings, Glutes, Calves"
1875,Kettlebell Curtsy Lunge,"The Kettlebell Curtsy Lunge is a lower body exercise that targets the legs and glutes. It involves stepping back into a curtsy position while holding a kettlebell, which helps improve balance and strength.",Strength,Legs,Kettlebells,Beginner,7.7,Average,"Glutes, Quadriceps, Hamstrings, Adductors"
1876,Single-arm kettlebell overhead squat,"The single-arm kettlebell overhead squat is a popular kettlebell movement performed while holding a single kettlebell in a locked-out overhead position. It targets the muscles of the lower body dynamically, while also challenging and building shoulder stability and upper-back mobility. It can be trained in traditional strength or muscle-building rep ranges, in circuit or fat-loss training, or as part of a kettlebell combination or complex.",Strength,Legs,Kettlebells,Expert,7.0,Average,"Quadriceps, Hamstrings, Glutes, Shoulders, Core"
1877,Kettlebell side squat,"The kettlebell side squat is a popular movement to build mobility and lateral strength in the hips. It can be performed for time or for reps, either on its own or as part of a kettlebell circuit, complex, or flow.",Mobility,Legs,Kettlebells,Intermediate,0.0,,"Quadriceps, Hamstrings, Glutes, Adductors"
1878,Kettlebell sumo squat,"The kettlebell sumo squat is a lower-body movement emphasizing the muscles of the hips, glutes, and quads. It shares attributes with both the kettlebell deadlift and the goblet squat, but is usually performed with a wider stance and the feet pointed more outward, similar to a sumo deadlift. Its unique stance helps the lifter keep an upright torso, as well as emphasize stretching the hips and adductor muscles.",Strength,Legs,Kettlebells,Intermediate,0.0,Average,"Glutes, Quads, Adductors, Hamstrings"
1879,Kettlebell thruster progression,"The kettlebell thruster progression is a kettlebell combination movement that includes a squat, curl, press, and overhead extension in a single sequence. It can work well with a light or moderate weight either for time or reps, in circuit-style training, or as a single kettlebell ""flow.""",Strength,Full Body,Kettlebells,Intermediate,0.0,,"Quadriceps, Hamstrings, Glutes, Shoulders, Biceps, Triceps"
